event_id,ts,user_id,item_id,event_type
8d33067c-d341-407a-a79f-289622180ada,2024-06-22T17:28:00,u_7,i_209,view
3175e707-acde-4de1-a6f3-23a7bfb355e9,2024-07-31T06:07:00,u_10,i_268,add_to_cart
a28f6c37-83a8-4def-8b79-b316afbe4598,2024-05-10T08:43:00,u_157,i_24,view
37efe21a-a18a-4959-aa78-51acaa1183b0,2024-08-23T15:31:00,u_80,i_186,add_to_cart
50c46392-a1e4-486b-83ea-1ba41b86624a,2024-07-23T09:40:00,u_80,i_213,view
ecc5d968-7eb3-4f50-8e83-2699993bc5ee,2024-05-13T13:55:00,u_116,i_41,view
ed58ba3b-6493-43b3-9be7-1201011ba441,2024-08-21T21:54:00,u_100,i_33,view
68a76c76-b243-44bd-a1cd-294203cb5f49,2024-08-05T14:14:00,u_156,i_227,view
ab336fc2-887e-4fc5-aff4-80d2d73b807c,2024-07-21T00:40:00,u_192,i_184,view
c3ae3767-024e-43c0-818c-1f9ad90237c3,2024-07-20T09:16:00,u_79,i_156,view
a88741e9-d91e-461a-a8ab-00a7f6b2f8ac,2024-07-19T15:30:00,u_36,i_196,purchase
5671a82a-1f0d-4b9a-a0b9-8db1848386b5,2024-05-13T07:04:00,u_68,i_192,view
719e0b1c-7b63-42c4-8c89-457a90c6df92,2024-05-08T16:23:00,u_180,i_271,view
e3ec2ae7-4a3e-4419-b60f-b56613d9a0da,2024-07-28T04:43:00,u_196,i_280,view
4e3b9008-c287-4ba1-83d0-e7b7d5d0b0da,2024-07-21T04:34:00,u_179,i_157,add_to_cart
703d474c-9d96-49b4-9f77-4b4395192693,2024-06-15T09:08:00,u_49,i_104,view
62108e16-edbd-4a65-afb4-bee78cc434a6,2024-06-26T12:56:00,u_3,i_120,add_to_cart
3f04871b-8568-4077-8f67-4ef808e80af7,2024-07-06T08:34:00,u_70,i_197,view
b8c8f9b2-5009-405a-ac09-ffb4e0a5e74d,2024-06-09T18:43:00,u_132,i_123,view
27409eab-d91a-4fb9-b397-691a7d8bb1d0,2024-08-11T01:59:00,u_32,i_19,view
84754b3b-c5d1-4665-950e-3146ff5de9b4,2024-07-19T04:19:00,u_122,i_98,add_to_cart
c59fb216-3035-485c-ae1d-792f463b5869,2024-08-23T17:25:00,u_111,i_154,add_to_cart
1fb619ab-6ad8-45ff-82a5-defc347fb10e,2024-08-05T07:41:00,u_54,i_25,view
20d14be0-fc3a-4604-be79-a759252b2558,2024-06-23T17:17:00,u_191,i_221,purchase
8ffa4993-63bc-4712-b8ca-56fdefcabd88,2024-05-11T05:13:00,u_150,i_295,view
80657f62-195a-4361-907b-93c5cb4bf1a1,2024-06-12T11:14:00,u_107,i_181,add_to_cart
0de26538-b286-4d75-86a2-a511c79153ae,2024-07-15T23:37:00,u_161,i_60,view
a99c2223-21cb-406c-b463-23cfcbe8e9d7,2024-05-31T06:17:00,u_150,i_295,view
58d438e9-c781-4776-b65f-cb4145c9d3c8,2024-05-04T09:28:00,u_27,i_204,view
e0fe587b-b965-4a7c-97ad-b23375b96add,2024-05-31T23:28:00,u_112,i_255,purchase
fbdfc710-4015-4c11-8cbe-e1abf49806b7,2024-06-21T20:37:00,u_177,i_37,purchase
22a43e2e-76f8-4b01-851d-e25b8b465dd1,2024-08-27T07:00:00,u_15,i_213,add_to_cart
d025752f-527f-47d0-9923-6fef7bd6104b,2024-05-27T05:04:00,u_197,i_102,view
4d15cf87-d10d-473d-8656-8ec5127f99c2,2024-07-03T11:53:00,u_59,i_242,view
1adc9f74-2435-4fb4-b9da-bf30e3569ffc,2024-06-18T19:50:00,u_171,i_51,add_to_cart
521d5e3f-68b6-45ba-83b7-819bbc0548db,2024-07-30T05:46:00,u_175,i_286,add_to_cart
13722f74-547e-4c61-a906-430211ec238c,2024-08-04T05:41:00,u_37,i_114,view
fec62e4a-259e-4c10-91fc-7bc18b29ac34,2024-06-08T07:57:00,u_128,i_93,view
e2aa5004-2252-4d4a-aeec-8b1812abaf21,2024-06-20T07:15:00,u_168,i_8,view
cfacb969-197a-4675-864e-36e75cbca97a,2024-06-26T07:48:00,u_176,i_44,view
76ba32cf-a64e-41c8-8377-28050c70b000,2024-06-05T11:44:00,u_81,i_49,add_to_cart
3f934849-a254-44c9-9a58-6d661016a2bf,2024-06-26T16:21:00,u_4,i_300,view
7923bda7-c74f-4bf3-b795-4be15e81206c,2024-06-02T03:23:00,u_136,i_193,view
61f0b723-b2d7-468f-8aff-47e67ff6654e,2024-08-23T08:28:00,u_59,i_154,view
0b050436-ab96-4815-a3c7-780c4aedfd14,2024-06-25T05:06:00,u_43,i_174,view
31d41ecf-dba6-457a-8519-92219eea2381,2024-05-20T20:11:00,u_149,i_292,view
b96328e6-c30f-4a99-a1c7-9e3fdd5c3cab,2024-08-20T05:30:00,u_59,i_86,view
9a52c2ad-8d2c-4095-8232-73e31633e475,2024-08-22T14:02:00,u_77,i_238,add_to_cart
b9a55100-4131-4f96-8b12-eeec10c8169b,2024-07-29T09:40:00,u_17,i_297,add_to_cart
ed10cc25-7b5c-4fa4-9fea-88d0b37f9c7d,2024-06-09T04:58:00,u_100,i_13,view
64c0e3ca-aa09-4f95-8cd9-f2454f70e370,2024-07-09T09:03:00,u_66,i_27,view
15290bc2-562d-4fe0-9b30-c4c50bda3b26,2024-05-23T14:29:00,u_198,i_124,view
3712889d-4a91-460a-85a7-c7a5d910c8e2,2024-06-17T10:49:00,u_103,i_158,add_to_cart
93b5d9db-bcfe-4fad-9fd0-6a31bd62b1b2,2024-05-17T22:34:00,u_140,i_172,view
814d2e5a-00bc-4ede-9b4f-b65c728553cd,2024-07-17T15:27:00,u_158,i_86,view
1ff7a350-68b0-44a7-903d-59c0a9b539e3,2024-08-24T04:41:00,u_188,i_155,add_to_cart
21cc541e-3aa3-4e4b-86d9-906040127255,2024-07-02T15:30:00,u_47,i_249,view
2b4c349e-7d21-4df7-bf8d-ed921d0e0959,2024-08-14T14:54:00,u_33,i_49,view
0f1422dd-d523-42fb-a832-8867dbd43b83,2024-05-05T01:29:00,u_116,i_244,purchase
4863b7ab-99a7-48f7-bc35-7359fa0fb9d6,2024-08-01T18:31:00,u_191,i_190,add_to_cart
915c83eb-fa70-4692-ab02-9418dacd4c19,2024-05-31T03:54:00,u_44,i_251,add_to_cart
91028bd6-7cef-4a79-bc5a-ad5d1ddf3f78,2024-06-18T16:19:00,u_189,i_193,view
eaeccc41-6c79-4113-bf09-89c178278fa6,2024-08-09T02:10:00,u_132,i_169,view
3bd2aa69-56c3-424c-8835-f0444945b55b,2024-07-13T06:02:00,u_115,i_70,view
0cba7215-5663-4bd4-85ca-ae729249bbe4,2024-06-09T21:46:00,u_26,i_267,view
8407c31d-68cd-4155-9fe4-f7154bbf79cd,2024-05-01T12:22:00,u_126,i_127,view
ee02a11a-7cb6-43e7-b217-69be903abaf6,2024-08-20T02:43:00,u_50,i_264,view
524215c2-1e1f-43ae-add5-a59712d15bd6,2024-06-12T15:13:00,u_118,i_82,view
303538fa-f2c3-471e-b0b9-275462702c4b,2024-08-18T02:44:00,u_21,i_117,view
2f56b89d-6617-4bdb-a500-fa5300d8bdea,2024-06-14T21:36:00,u_158,i_108,add_to_cart
c630fe4b-0099-4ac3-85e0-0e059f50e473,2024-05-28T07:16:00,u_2,i_36,view
10343761-e23e-409d-b42a-ef9bab905380,2024-05-09T06:08:00,u_138,i_60,view
a5de7749-41c4-4b9f-b9e1-56a040735920,2024-05-03T10:00:00,u_193,i_230,add_to_cart
6bb668df-bfcd-4bfe-a854-b35fa3ceb1d6,2024-06-15T23:10:00,u_145,i_211,view
cca04451-4bc5-4a95-8086-ad4cada943f9,2024-07-23T08:41:00,u_54,i_58,view
5b624c2f-f83c-42f5-8a9b-b27229b64f64,2024-05-01T02:37:00,u_24,i_48,view
fdac41e7-78b5-4be2-b6f9-54d9be28dca9,2024-07-07T21:14:00,u_69,i_247,purchase
9fea27ba-4a6c-4ca9-9e32-59969b213da1,2024-05-11T04:22:00,u_44,i_181,view
93cda35b-7b4a-49ff-b879-7d952fdb76dc,2024-05-17T21:45:00,u_141,i_40,view
02752cf0-d03a-44aa-b1e7-dda6eec0ffc2,2024-06-21T22:16:00,u_24,i_139,view
fdecc529-b4c4-4bc9-b3ca-ee22e9c895e8,2024-07-09T13:49:00,u_178,i_5,view
567fba0c-80bc-42bc-a04a-c5dbf367dc88,2024-06-09T21:51:00,u_79,i_279,view
